Cajones_de_Estacionamiento__c,Calle__c,Ciudad__c,Closets__c,Colonia__c,CP__c,Cuota_Condominio__c,Cuota_Fraccionamiento__c,Delegacion_Municipio__c,Desarrollo__c,D_as_restantes_para_la_entrega_de_etapa__c,Eje__c,Estado__c,Mts2_Casa__c,Mts2_Jard_n__c,Mts2_Terreno__c,Mts_2_Terraza__c,Name,Niveles__c,recamaras,Numero_de_Escritura_Publica__c,Numero_de_piso__c,Numero__c,Tipo_de_Casa__c,Tipo_de_Propiedad__c,Torre__c,Ubicaci_n__c, Valor_de_Propiedad__c ,caracteristicas
1,Santa Fe,Santiago de Quer�taro,2,Juriquilla Santa Fe,76230,3190,150,Santa Rosa Jáuregui,Alegra Towers,44,Vertical,Quer�taro,133.5,,,11.96,C 204,1,2,45902,2.04,126,DEPARTAMENTO B,Departamento,Torre C,"Calle Santa Fe,N�mero exterior 126,Fraccionamiento Juriquilla Santa Fe","$3,774,441.60 ",Patrimonio de gran valor y privacidad con el mejor acceso al Fray Jun�pero
1,Santa Fe,Santiago de Quer�taro,2,Juriquilla Santa Fe,76230,8313,150,Santa Rosa Jáuregui,Alegra Towers,44,Vertical,Quer�taro,344,,,13.03,C 1303,1,2,45902,13.03,126,PH_B,Departamento,Torre C,"Calle Santa Fe,N�mero exterior 126,Fraccionamiento Juriquilla Santa Fe","$8,386,940.00 ",Patrimonio de gran valor y privacidad con el mejor acceso al Fray Jun�pero
1,Santa Fe,Santiago de Quer�taro,2,Juriquilla Santa Fe,76230,7418,150,Santa Rosa Jáuregui,Alegra Towers,44,Vertical,Quer�taro,306.9,,,13.26,C 1304,1,2,45902,13.04,126,PH_A,Departamento,Torre C,"Calle Santa Fe,N�mero exterior 126,Fraccionamiento Juriquilla Santa Fe","$7,548,696.00 ",Patrimonio de gran valor y privacidad con el mejor acceso al Fray Jun�pero
3,Santa Fe,Santiago de Quer�taro,2,Juriquilla Santa Fe,76230,7418,150,Santa Rosa Jáuregui,Alegra Towers,44,Vertical,Quer�taro,306.6,,,13.54,D 1304,1,2,45902,13.04,126,PH_A,Departamento,Torre D,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$7,548,696.00 ",Patrimonio de gran valor y privacidad con el mejor acceso al Fray Jun�pero
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,215,35.4,142.5,,12,2,3,1858,,1231,A1,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$4,067,889.60 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,4,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,0,Horizontal,Quer�taro,165.4,41.9,169,,39,2,4,1858,,1231,C,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,501,466.40 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,165.4,29.3,155.8,,45,2,3,1858,,1231,C,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,473,496.80 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,165.4,39,166.2,,64,2,3,1858,,1231,C,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,490,512.80 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,165.4,72.9,201.8,,65,2,3,1858,,1231,C,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,631,845.60 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,0,Horizontal,Quer�taro,165.4,73.7,201.9,,76,2,3,1858,,1231,C,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,635,338.40 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,0,Horizontal,Quer�taro,222,65.4,180.2,,83,2,3,1858,,1231,C1,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$4,858,659.20 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,158,20.2,126,,87,2,3,1858,,1231,J,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,317,426.61 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,158,20.2,126,,88,2,3,1858,,1231,J,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,287,291.20 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,158,20.2,126,,89,2,3,1858,,1231,J,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,287,291.20 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
2,Circuito Altos Juriquilla,Santiago de Quer�taro,3,Altos Juriquilla,76230,1700,274.42,Santiago de Quer�taro,Alondra,44,Horizontal,Quer�taro,158,20.2,126,,90,2,3,1858,,1231,J,Casa,,"Circuito Altos Juriquilla 1231, Altos Juriquilla","$3,317,426.61 ","Encuentra el destino que quieres en Juriquilla, a unos pasos del campo de golf, colegios y zonas exclusivas"
